"layer","intercept","slope","PANEL","group","colour","linewidth","linetype","alpha","size","x","y","shape","fill","stroke","label","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","bg.colour","bg.r","segment.colour"
2,,,"1",-1,"white",,,"0.75",5.13809303146605,0.168457126207126,0.166666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.11555394056826,0.00205882352941176,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.79705818718657,0.0029047619047619,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.003,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0052,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.34789678284837,0.00530684699915469,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.00753173493173493,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.0075992007992008,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.3166247903554,0.0095962037962038,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.00966666666666667,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.0111428571428571,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.012,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0121333333333333,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.29285308902091,0.0122777777777778,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.93295878967653,0.0748125,0.0625,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.0127,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",8.52056336165632,0.0127272727272727,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.0129486013986014,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.63318042491699,0.0185,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0205,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0235,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.79705818718657,0.0243809523809524,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.54977477020464,0.0245,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.0248888888888889,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0255,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.11555394056826,0.0260588235294118,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.63318042491699,0.0263333333333333,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0936,0.0666666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.027,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.03975,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.3166247903554,0.6434,0.6,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.34789678284837,0.692509874740644,0.615384615384615,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.26636084983398,0.732291666666667,0.625,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
3,,,"1",-1,"black",,,,2.4,0.1345,0.9,,,,"Max Planck Medal",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.119444444444444,0.777777777777778,,,,"Copley Medal",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.108421052631579,0.736842105263158,,,,"Gold Medal of the Royal Astronomical Society",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.03225,0.625,,,,"Matteucci Medal",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.0315,0.5,,,,"Lorentz Medal",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.039,0.5,,,,"Keio Medical Science Prize",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.043,0.5,,,,"Max Planck Research Award",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.544111111111111,1,,,,"Benjamin Franklin Medal in Electrical Engineering",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.548,1,,,,"Benjamin Franklin Medal in Mechanical Engineering",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.567,1,,,,"Benjamin Franklin Medal in Materials Science and Engineering",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.1082,0.5,,,,"Isaac Newton Medal",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.632666666666667,1,,,,"Arthur L. Day Prize and Lectureship",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.676108225108225,1,,,,"Maryam Mirzakhani Prize in Mathematics",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.105285714285714,0.428571428571429,,,,"Faraday Lectureship Prize",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
3,,,"1",-1,"black",,,,2.4,0.682888888888889,1,,,,"Benjamin Franklin Medal in Life Science",0,"",1,1.2,0.5,0.5,1,1,0.25,0,90,1,0.5,"TRUE",1,"FALSE","FALSE",,0.1,"grey60"
