"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha","xend","yend","nudge_x","nudge_y","yintercept"
1,2004,0.6,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,0.51,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.55,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.72,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.62,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.55,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.59,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.61,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.57,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,0.44,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2009,0.58,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2012,0.55,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,0.39,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,0.51,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018,0.5,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2019,0.53,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1731,0.570763378146827,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1734.64556962025,0.571341345201822,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1738.29113924051,0.571919312256816,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1741.93670886076,0.572497279311811,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745.58227848101,0.573075246366806,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1749.22784810127,0.5736532134218,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1752.87341772152,0.574231180476795,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1756.51898734177,0.57480914753179,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1760.16455696203,0.575387114586784,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1763.81012658228,0.575965081641779,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1767.45569620253,0.576543048696774,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1771.10126582278,0.577121015751769,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1774.74683544304,0.577698982806763,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1778.39240506329,0.578276949861758,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1782.03797468354,0.578854916916753,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1785.6835443038,0.579432883971747,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1789.32911392405,0.580010851026742,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1792.9746835443,0.580588818081737,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1796.62025316456,0.581166785136731,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1800.26582278481,0.581744752191726,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1803.91139240506,0.582322719246721,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1807.55696202532,0.582900686301715,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1811.20253164557,0.58347865335671,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1814.84810126582,0.584056620411705,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1818.49367088608,0.5846345874667,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1822.13924050633,0.585212554521694,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1825.78481012658,0.585790521576689,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1829.43037974684,0.586368488631684,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1833.07594936709,0.586946455686678,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1836.72151898734,0.587524422741673,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1840.36708860759,0.588102389796668,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1844.01265822785,0.588680356851663,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1847.6582278481,0.589258323906657,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1851.30379746835,0.589836290961652,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1854.94936708861,0.590414258016647,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1858.59493670886,0.590992225071641,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1862.24050632911,0.591570192126636,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1865.88607594937,0.592148159181631,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1869.53164556962,0.592726126236625,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1873.17721518987,0.59330409329162,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1876.82278481013,0.593882060346615,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1880.46835443038,0.594460027401609,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1884.11392405063,0.595037994456604,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1887.75949367089,0.595615961511599,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1891.40506329114,0.596193928566594,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1895.05063291139,0.596771895621588,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1898.69620253165,0.597349862676583,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
