"layer","x","y","fill","PANEL","group","align_padding","flipped_aes","ymin","ymax","xmin","xmax","colour","linewidth","linetype","alpha"
1,1931,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1931,1931,"white",0.15,1,0.95
1,1931.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1931.125,1931.125,"white",0.15,1,0.95
1,1931.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1931.875,1931.875,"white",0.15,1,0.95
1,1932,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1932,1932,"white",0.15,1,0.95
1,1932.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1932.125,1932.125,"white",0.15,1,0.95
1,1932.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1932.875,1932.875,"white",0.15,1,0.95
1,1933,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1933,1933,"white",0.15,1,0.95
1,1933.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1933.125,1933.125,"white",0.15,1,0.95
1,1933.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1933.875,1933.875,"white",0.15,1,0.95
1,1934,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1934,1934,"white",0.15,1,0.95
1,1934.125,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1934.125,1934.125,"white",0.15,1,0.95
1,1934.875,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1934.875,1934.875,"white",0.15,1,0.95
1,1935,1,"#377eb8","1",1,"FALSE","FALSE",0.384615384615385,1,1935,1935,"white",0.15,1,0.95
1,1935.125,1,"#377eb8","1",1,"FALSE","FALSE",0.381181318681319,1,1935.125,1935.125,"white",0.15,1,0.95
1,1935.875,1,"#377eb8","1",1,"FALSE","FALSE",0.360576923076923,1,1935.875,1935.875,"white",0.15,1,0.95
1,1936,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1936,1936,"white",0.15,1,0.95
1,1936.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1936.125,1936.125,"white",0.15,1,0.95
1,1936.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1936.875,1936.875,"white",0.15,1,0.95
1,1937,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1937,1937,"white",0.15,1,0.95
1,1937.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1937.125,1937.125,"white",0.15,1,0.95
1,1937.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1937.875,1937.875,"white",0.15,1,0.95
1,1938,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1938,1938,"white",0.15,1,0.95
1,1938.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1938.125,1938.125,"white",0.15,1,0.95
1,1938.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1938.875,1938.875,"white",0.15,1,0.95
1,1939,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1939,1939,"white",0.15,1,0.95
1,1939.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1939.125,1939.125,"white",0.15,1,0.95
1,1939.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1939.875,1939.875,"white",0.15,1,0.95
1,1940,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1940,1940,"white",0.15,1,0.95
1,1940.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1940.125,1940.125,"white",0.15,1,0.95
1,1940.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1940.875,1940.875,"white",0.15,1,0.95
1,1941,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1941,1941,"white",0.15,1,0.95
1,1941.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1941.125,1941.125,"white",0.15,1,0.95
1,1941.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1941.875,1941.875,"white",0.15,1,0.95
1,1942,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1942,1942,"white",0.15,1,0.95
1,1942.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1942.125,1942.125,"white",0.15,1,0.95
1,1942.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1942.875,1942.875,"white",0.15,1,0.95
1,1943,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1943,1943,"white",0.15,1,0.95
1,1943.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1943.125,1943.125,"white",0.15,1,0.95
1,1943.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1943.875,1943.875,"white",0.15,1,0.95
1,1944,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1944,1944,"white",0.15,1,0.95
1,1944.125,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1944.125,1944.125,"white",0.15,1,0.95
1,1944.875,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1944.875,1944.875,"white",0.15,1,0.95
1,1945,1,"#377eb8","1",1,"FALSE","FALSE",0.357142857142857,1,1945,1945,"white",0.15,1,0.95
1,1945.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3515625,1,1945.125,1945.125,"white",0.15,1,0.95
1,1945.875,1,"#377eb8","1",1,"FALSE","FALSE",0.318080357142857,1,1945.875,1945.875,"white",0.15,1,0.95
1,1946,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1946,1946,"white",0.15,1,0.95
1,1946.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1946.125,1946.125,"white",0.15,1,0.95
1,1946.875,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1946.875,1946.875,"white",0.15,1,0.95
1,1947,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1947,1947,"white",0.15,1,0.95
1,1947.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1947.125,1947.125,"white",0.15,1,0.95
1,1947.875,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1947.875,1947.875,"white",0.15,1,0.95
1,1948,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1948,1948,"white",0.15,1,0.95
1,1948.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1948.125,1948.125,"white",0.15,1,0.95
1,1948.875,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1948.875,1948.875,"white",0.15,1,0.95
1,1949,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1949,1949,"white",0.15,1,0.95
1,1949.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1949.125,1949.125,"white",0.15,1,0.95
1,1949.875,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1949.875,1949.875,"white",0.15,1,0.95
1,1950,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1950,1950,"white",0.15,1,0.95
1,1950.125,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1950.125,1950.125,"white",0.15,1,0.95
1,1950.875,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1950.875,1950.875,"white",0.15,1,0.95
1,1951,1,"#377eb8","1",1,"FALSE","FALSE",0.3125,1,1951,1951,"white",0.15,1,0.95
1,1951.125,1,"#377eb8","1",1,"FALSE","FALSE",0.310202205882353,1,1951.125,1951.125,"white",0.15,1,0.95
1,1951.875,1,"#377eb8","1",1,"FALSE","FALSE",0.296415441176471,1,1951.875,1951.875,"white",0.15,1,0.95
1,1952,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1952,1952,"white",0.15,1,0.95
1,1952.125,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1952.125,1952.125,"white",0.15,1,0.95
1,1952.875,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1952.875,1952.875,"white",0.15,1,0.95
1,1953,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1953,1953,"white",0.15,1,0.95
1,1953.125,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1953.125,1953.125,"white",0.15,1,0.95
1,1953.875,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1953.875,1953.875,"white",0.15,1,0.95
1,1954,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1954,1954,"white",0.15,1,0.95
1,1954.125,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1954.125,1954.125,"white",0.15,1,0.95
1,1954.875,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1954.875,1954.875,"white",0.15,1,0.95
1,1955,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1955,1955,"white",0.15,1,0.95
1,1955.125,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1955.125,1955.125,"white",0.15,1,0.95
1,1955.875,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1955.875,1955.875,"white",0.15,1,0.95
1,1956,1,"#377eb8","1",1,"FALSE","FALSE",0.294117647058824,1,1956,1956,"white",0.15,1,0.95
1,1956.125,1,"#377eb8","1",1,"FALSE","FALSE",0.299019607843137,1,1956.125,1956.125,"white",0.15,1,0.95
1,1956.875,1,"#377eb8","1",1,"FALSE","FALSE",0.32843137254902,1,1956.875,1956.875,"white",0.15,1,0.95
1,1957,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1957,1957,"white",0.15,1,0.95
1,1957.125,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1957.125,1957.125,"white",0.15,1,0.95
1,1957.875,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1957.875,1957.875,"white",0.15,1,0.95
1,1958,1,"#377eb8","1",1,"FALSE","FALSE",0.333333333333333,1,1958,1958,"white",0.15,1,0.95
1,1958.125,1,"#377eb8","1",1,"FALSE","FALSE",0.331140350877193,1,1958.125,1958.125,"white",0.15,1,0.95
1,1958.875,1,"#377eb8","1",1,"FALSE","FALSE",0.317982456140351,1,1958.875,1958.875,"white",0.15,1,0.95
1,1959,1,"#377eb8","1",1,"FALSE","FALSE",0.315789473684211,1,1959,1959,"white",0.15,1,0.95
1,1959.125,1,"#377eb8","1",1,"FALSE","FALSE",0.313815789473684,1,1959.125,1959.125,"white",0.15,1,0.95
1,1959.875,1,"#377eb8","1",1,"FALSE","FALSE",0.301973684210526,1,1959.875,1959.875,"white",0.15,1,0.95
1,1960,1,"#377eb8","1",1,"FALSE","FALSE",0.3,1,1960,1960,"white",0.15,1,0.95
1,1960.125,1,"#377eb8","1",1,"FALSE","FALSE",0.298214285714286,1,1960.125,1960.125,"white",0.15,1,0.95
1,1960.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2875,1,1960.875,1960.875,"white",0.15,1,0.95
1,1961,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1961,1961,"white",0.15,1,0.95
1,1961.125,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1961.125,1961.125,"white",0.15,1,0.95
1,1961.875,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1961.875,1961.875,"white",0.15,1,0.95
1,1962,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1962,1962,"white",0.15,1,0.95
1,1962.125,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1962.125,1962.125,"white",0.15,1,0.95
1,1962.875,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1962.875,1962.875,"white",0.15,1,0.95
1,1963,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1963,1963,"white",0.15,1,0.95
1,1963.125,1,"#377eb8","1",1,"FALSE","FALSE",0.284090909090909,1,1963.125,1963.125,"white",0.15,1,0.95
1,1963.875,1,"#377eb8","1",1,"FALSE","FALSE",0.274350649350649,1,1963.875,1963.875,"white",0.15,1,0.95
1,1964,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1964,1964,"white",0.15,1,0.95
1,1964.125,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1964.125,1964.125,"white",0.15,1,0.95
1,1964.875,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1964.875,1964.875,"white",0.15,1,0.95
1,1965,1,"#377eb8","1",1,"FALSE","FALSE",0.272727272727273,1,1965,1965,"white",0.15,1,0.95
1,1965.125,1,"#377eb8","1",1,"FALSE","FALSE",0.276679841897233,1,1965.125,1965.125,"white",0.15,1,0.95
1,1965.875,1,"#377eb8","1",1,"FALSE","FALSE",0.300395256916996,1,1965.875,1965.875,"white",0.15,1,0.95
1,1966,1,"#377eb8","1",1,"FALSE","FALSE",0.304347826086957,1,1966,1966,"white",0.15,1,0.95
1,1966.125,1,"#377eb8","1",1,"FALSE","FALSE",0.30276268115942,1,1966.125,1966.125,"white",0.15,1,0.95
1,1966.875,1,"#377eb8","1",1,"FALSE","FALSE",0.293251811594203,1,1966.875,1966.875,"white",0.15,1,0.95
1,1967,1,"#377eb8","1",1,"FALSE","FALSE",0.291666666666667,1,1967,1967,"white",0.15,1,0.95
1,1967.125,1,"#377eb8","1",1,"FALSE","FALSE",0.291666666666667,1,1967.125,1967.125,"white",0.15,1,0.95
1,1967.875,1,"#377eb8","1",1,"FALSE","FALSE",0.291666666666667,1,1967.875,1967.875,"white",0.15,1,0.95
1,1968,1,"#377eb8","1",1,"FALSE","FALSE",0.291666666666667,1,1968,1968,"white",0.15,1,0.95
1,1968.125,1,"#377eb8","1",1,"FALSE","FALSE",0.295208333333333,1,1968.125,1968.125,"white",0.15,1,0.95
1,1968.875,1,"#377eb8","1",1,"FALSE","FALSE",0.316458333333333,1,1968.875,1968.875,"white",0.15,1,0.95
