"layer","x","ymin","ymax","fill","PANEL","group","flipped_aes","y","colour","linewidth","linetype","alpha","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","xmin","xmax","yintercept"
8,94.7337508404269,,,,"1",-1,,-0.2,"black",0.1,"1",,94.7337508404269,-0.3,,,,,,,,,,,,,
8,100,,,,"1",-1,,-0.2,"black",0.1,"1",,100,-0.3,,,,,,,,,,,,,
9,0,,,,"1",-1,,-0.3,"black",0.3,"1",,0.402829803291787,-0.3,,,,,,,,,,,,,
9,0.402829803291787,,,,"1",-1,,-0.3,"black",0.3,"1",,1.44058221660195,-0.3,,,,,,,,,,,,,
9,1.44058221660195,,,,"1",-1,,-0.3,"black",0.3,"1",,3.17996336030428,-0.3,,,,,,,,,,,,,
9,3.17996336030428,,,,"1",-1,,-0.3,"black",0.3,"1",,5.09872739984658,-0.3,,,,,,,,,,,,,
9,5.09872739984658,,,,"1",-1,,-0.3,"black",0.3,"1",,25.3760885832301,-0.3,,,,,,,,,,,,,
9,25.3760885832301,,,,"1",-1,,-0.3,"black",0.3,"1",,71.3999816154112,-0.3,,,,,,,,,,,,,
9,71.3999816154112,,,,"1",-1,,-0.3,"black",0.3,"1",,94.7337508404269,-0.3,,,,,,,,,,,,,
9,94.7337508404269,,,,"1",-1,,-0.3,"black",0.3,"1",,100,-0.3,,,,,,,,,,,,,
10,15.2374079915383,,,,"1",-1,,-1.95,"black",,,,,,"20%",0,0,"",3.3,90,0.5,0.5,"1",1.2,,,
10,48.3880350993206,,,,"1",-1,,-1.95,"black",,,,,,"46%",0,0,"",3.3,90,0.5,0.5,"1",1.2,,,
10,83.066866227919,,,,"1",-1,,-1.95,"black",,,,,,"23%",0,0,"",3.3,90,0.5,0.5,"1",1.2,,,
10,97.3668754202134,,,,"1",-1,,-1.95,"black",,,,,,"5%",0,0,"",3.3,90,0.5,0.5,"1",1.2,,,
11,,14.6490335707019,15.510741427802,"#1A237E","1",-1,,,,0.5,"1","0.4",,,,,,,,,,,,,80,85,
12,,13.7873257136018,14.6490335707019,"#8B4577","1",-1,,,,0.5,"1","0.4",,,,,,,,,,,,,80,85,
13,,12.9256178565017,13.7873257136018,"#00A5A5","1",-1,,,,0.5,"1","0.4",,,,,,,,,,,,,80,85,
14,,12.0639099994016,12.9256178565017,"#E7298A","1",-1,,,,0.5,"1","0.4",,,,,,,,,,,,,80,85,
15,85,,,,"1",-1,,14.6490335707019,"#1A237E",1,"1",,,15.510741427802,,,,,,,,,,,,,
16,85,,,,"1",-1,,13.7873257136018,"#8B4577",1,"1",,,14.6490335707019,,,,,,,,,,,,,
17,85,,,,"1",-1,,12.9256178565017,"#00A5A5",1,"1",,,13.7873257136018,,,,,,,,,,,,,
18,85,,,,"1",-1,,12.0639099994016,"#E7298A",1,"1",,,12.9256178565017,,,,,,,,,,,,,
19,86,,,,"1",-1,,15.079887499252,"black",,,,,,"Math & Phys. sci",,,"",3,0,0,0.5,"1",1.2,,,
20,86,,,,"1",-1,,14.2181796421519,"black",,,,,,"Applied sci",,,"",3,0,0,0.5,"1",1.2,,,
21,86,,,,"1",-1,,13.3564717850518,"black",,,,,,"Life & Health",,,"",3,0,0,0.5,"1",1.2,,,
22,86,,,,"1",-1,,12.4947639279516,"black",,,,,,"Social sci",,,"",3,0,0,0.5,"1",1.2,,,
23,86,,,,"1",-1,,15.7692537849321,"black",,,,,,"Broad fields",,,"",3.3,0,0,0.5,"bold",1.2,,,
24,,,,,"1",-1,,,"gray50",0.3,"dashed",,,,,,,,,,,,,,,,1.67017836494795
25,Inf,,,,"1",-1,,1.67017836494795,"gray50",,,,,,"Avg.",,,"",3,0,1.1,-0.5,"1",1.2,,,
