"layer","y","x","PANEL","group","flipped_aes","colour","linewidth","linetype","alpha","family","size","angle","hjust","vjust","fontface","lineheight","label"
2,208.94549469088,1972,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,234.994914160961,1973,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,239.646596209189,1974,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,241.507269028481,1975,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,241.69333631041,1976,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,241.69333631041,1976,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,243.554009129701,1978,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,245.414681948993,1978,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,247.275354768284,1978,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,249.136027587576,1978,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,250.996700406867,1978,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,256.020517018954,1979,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,259.493772948298,1980,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,260.498536270716,1981,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,263.97179220006,1982,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,267.445048129404,1982,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,270.918304058748,1982,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,271.104371340677,1984,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,274.82571697926,1984,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,287.106157586583,1985,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,299.386598193907,1985,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,311.667038801231,1985,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,316.318720849459,1987,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,325.622084945916,1987,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,330.273766994145,1989,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,332.134439813437,1989,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,334.739381760445,1990,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,336.600054579736,1990,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,338.460727399028,1991,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,350.741168006351,1992,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,350.834201647316,1993,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,351.345886672621,1993,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,354.136895901558,1994,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,356.741837848566,1996,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,366.045201945023,2000,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,367.781829909695,2000,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,372.433511957924,2001,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,381.736876054381,2001,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,394.203383943634,2003,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,416.531457775131,2004,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,438.859531606629,2004,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
