"layer","y","x","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,1e+06,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1300,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,2008,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74000,2009,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,415000,2009,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1400000,2011,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,2012,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,2013,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,625000,2013,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1500000,2014,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3e+06,2015,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
