"layer","x","y","flipped_aes","PANEL","group","colour","fill","linewidth","linetype","weight","alpha","shape","size","stroke","label","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
3,175,0.667222685571309,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Biomedical &
Other Eng.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,160,3.05480682839173,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Chemistry &
Chemical Eng.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,150,0.788954635108481,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Civil & Env. Eng.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,200,1.60721285770286,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Computer &
Electrical Eng.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,214,1.36372127778816,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Computer Science",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,150,2.51677852348993,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Earth & Ocean Sci.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,202,1.20724346076459,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Economics",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,191,3.25229960578187,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Mathematics",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,170,0.780089153046062,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Mechanical &
Aerospace Eng.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,175,5.0561797752809,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Microbiology &
Immunology",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,170,2.2609687538192,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Other Biological
& Health Sci.",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,180,5.09673392968587,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Physics & Astronomy",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,170,0.387992648560343,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Political Science
& Sociology",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
3,144,0.0459453250631748,,"1",-1,"black","#FFFFFFB2",,,,,,2.3,,"Psychology",0,"",1,0.9,0.5,0.5,1,1,0.4,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6
