Winner,Wikipedia_URL,qid,birth_year
Neena Gupta,https://en.wikipedia.org/wiki/Neena_Gupta,Q6986875,
Mouhamed Moustapha Fall,https://en.wikipedia.org/wiki/Mouhamed_Moustapha_Fall,,
Ruochuan Liu,https://en.wikipedia.org/wiki/Ruochuan_Liu,Q102377949,
G. David Forney Jr.,https://en.wikipedia.org/wiki/G._David_Forney_Jr.,,
Kees Immink,https://en.wikipedia.org/wiki/Kees_Schouhamer_Immink,Q738978,1946
Bradford Parkinson,https://en.wikipedia.org/wiki/Bradford_Parkinson,Q896966,1935
Kurt Petersen,https://en.wikipedia.org/wiki/Kurt_Petersen,Q102432583,
Chenming Hu,https://en.wikipedia.org/wiki/Chenming_Hu,Q5091418,1947
Jacob Ziv,https://en.wikipedia.org/wiki/Jacob_Ziv,Q957439,1931
Asad Madni,https://en.wikipedia.org/wiki/Asad_Madni,Q15264338,
Vinton Cerf,https://en.wikipedia.org/wiki/Vint_Cerf,Q92743,1943
Robert Kahn,https://en.wikipedia.org/wiki/Bob_Kahn,Q62843,1938
Bruce M. Spiegelman,https://en.wikipedia.org/wiki/Bruce_M._Spiegelman,Q21042408,1952
Charles M. Rice,https://en.wikipedia.org/wiki/Charles_M._Rice,Q22669757,1952
Adriano Aguzzi,https://en.wikipedia.org/wiki/Adriano_Aguzzi,,
Guido Kroemer,https://en.wikipedia.org/wiki/Guido_Kroemer,Q19508945,1961
Laurence Zitvogel,https://en.wikipedia.org/wiki/Laurence_Zitvogel,Q28317098,1963
Catherine Boileau,https://en.wikipedia.org/wiki/Catherine_Boileau,,
Andrew Hattersley,https://en.wikipedia.org/wiki/Andrew_Hattersley,Q21165208,1958
Jose Calavera,https://en.wikipedia.org/wiki/Jos%C3%A9_Calavera,,
Juan Jose Arenas,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Arenas_de_Pablo,,
Tristram Carfrae,https://en.wikipedia.org/wiki/Tristram_Carfrae,Q56459986,1959
Niels Jorgen Gimsing,https://en.wikipedia.org/wiki/Niels_J%C3%B8rgen_Gimsing,,
Ahsan Kareem,https://en.wikipedia.org/wiki/Ahsan_Kareem,Q30131872,1947
Jurg Conzett,https://en.wikipedia.org/wiki/J%C3%BCrg_Conzett,Q3191202,1956
Yozo Fujino,https://en.wikipedia.org/wiki/Yozo_Fujino,,
Tom Vrouwenvelder,https://en.wikipedia.org/wiki/Tom_Vrouwenvelder,,
Klaus Ostenfeld,https://en.wikipedia.org/wiki/Klaus_H._Ostenfeld,,
Tom Kibble,https://en.wikipedia.org/wiki/Tom_Kibble,Q926167,1932
Michael Pepper,https://en.wikipedia.org/wiki/Michael_Pepper,Q1928860,1942
Margaret Murnane,https://en.wikipedia.org/wiki/Margaret_Murnane,Q1894870,1959
James Binney,https://en.wikipedia.org/wiki/James_Binney,Q1520323,1950
Richard Friend,https://en.wikipedia.org/wiki/Richard_Friend,Q510190,1953
Edward C. Stone,https://en.wikipedia.org/wiki/Edward_C._Stone,Q1291839,1936
Ewine van Dishoeck,https://en.wikipedia.org/wiki/Ewine_van_Dishoeck,Q1879957,1955
Lisa Kewley,https://en.wikipedia.org/wiki/Lisa_Kewley,Q6558148,1974
Samuel Harvey Moseley Jr.,https://en.wikipedia.org/wiki/Samuel_Harvey_Moseley_Jr.,,
James Stone,https://en.wikipedia.org/wiki/James_Stone,Q1681136,
Alain Fischer,https://en.wikipedia.org/wiki/Alain_Fischer,Q2636403,1949
Theodore Friedmann,https://en.wikipedia.org/wiki/Theodore_Friedmann,Q55103620,1935
Yutaka Takahashi,https://en.wikipedia.org/wiki/Yutaka_Takahashi,Q1092143,
Hideo Hosono,https://en.wikipedia.org/wiki/Hideo_Hosono,Q1346341,1953
Steven D. Tanksley,https://en.wikipedia.org/wiki/Steven_D._Tanksley,Q7614611,1954
Adi Shamir,https://en.wikipedia.org/wiki/Adi_Shamir,Q320624,1952
Jennifer A. Doudna,https://en.wikipedia.org/wiki/Jennifer_Doudna,Q56068,1964
Akira Yoshino,https://en.wikipedia.org/wiki/Akira_Yoshino,Q4701206,1948
Max D. Cooper,https://en.wikipedia.org/wiki/Max_D._Cooper,Q1912385,1933
Rattan Lal,https://en.wikipedia.org/wiki/Rattan_Lal,Q62712764,1944
Yoshio Okamoto,https://en.wikipedia.org/wiki/Yoshio_Okamoto_(chemist),,
Robert G. Gallager,https://en.wikipedia.org/wiki/Robert_G._Gallager,Q461687,1931
Martin Green,https://en.wikipedia.org/wiki/Martin_Green,Q3295446,
Robert A. Weinberg,https://en.wikipedia.org/wiki/Robert_A._Weinberg,Q701506,1942
Christopher Field,https://en.wikipedia.org/wiki/Christopher_Field,Q5112314,1953
Gero Miesenboeck,https://en.wikipedia.org/wiki/Gero_Miesenboeck,Q5552368,1965
Kazuo Hagimoto,https://en.wikipedia.org/wiki/Kazuo_Hagimoto,,
Masataka Nakazawa,https://en.wikipedia.org/wiki/Masataka_Nakazawa,Q1906767,1952
Brian J. Hoskins,https://en.wikipedia.org/wiki/Brian_J._Hoskins,Q4964102,1945
John Michael Wallace,https://en.wikipedia.org/wiki/John_Michael_Wallace,Q6248666,1940
Ronald M. Evans,https://en.wikipedia.org/wiki/Ronald_M._Evans,Q969420,1949
Andrew Fabian,https://en.wikipedia.org/wiki/Andrew_Fabian_(astrophysicist),,
Roger Ulrich,https://en.wikipedia.org/wiki/Roger_Ulrich_(astrophysicist),,
David Charbonneau,https://en.wikipedia.org/wiki/David_Charbonneau,Q5232304,1974
Sara Seager,https://en.wikipedia.org/wiki/Sara_Seager,Q7421764,1971
Calvin Quate,https://en.wikipedia.org/wiki/Calvin_Quate,Q482334,1923
Gerd Binnig,https://en.wikipedia.org/wiki/Gerd_Binnig,Q76766,1947
Jennifer A. Doudna,https://en.wikipedia.org/wiki/Jennifer_A._Doudna,Q56068,1964
Virginijus Siksnys,https://en.wikipedia.org/wiki/Virginijus_%C5%A0ik%C5%A1nys,Q22202040,1956
Harald Rose,https://en.wikipedia.org/wiki/Harald_Rose,Q122014,1935
Knut Urban,https://en.wikipedia.org/wiki/Knut_Urban,Q110765,1941
Maximilian Haider,https://en.wikipedia.org/wiki/Maximilian_Haider,Q85322,1950
Ondrej L. Krivanek,https://en.wikipedia.org/wiki/Ondrej_Krivanek,Q7092222,1950
David Allara,https://en.wikipedia.org/wiki/David_Allara,,
George M. Whitesides,https://en.wikipedia.org/wiki/George_M._Whitesides,Q701501,1939
Jacob Sagiv,https://en.wikipedia.org/wiki/Jacob_Sagiv,,
Ralph Nuzzo,https://en.wikipedia.org/wiki/Ralph_Nuzzo,Q6018970,1954
Paul Alivisatos,https://en.wikipedia.org/wiki/Paul_Alivisatos,Q194559,1959
Carla J. Shatz,https://en.wikipedia.org/wiki/Carla_J._Shatz,Q20181198,1947
Eve Marder,https://en.wikipedia.org/wiki/Eve_Marder,Q5416184,1948
Michael M. Merzenich,https://en.wikipedia.org/wiki/Michael_M._Merzenich,Q6832811,1942
A. James Hudspeth,https://en.wikipedia.org/wiki/A._James_Hudspeth,Q278824,1945
Robert Fettiplace,https://en.wikipedia.org/wiki/Robert_Fettiplace,Q7344315,1946
Harry T. Orr,https://en.wikipedia.org/wiki/Harry_T._Orr,,
Huda Y. Zoghbi,https://en.wikipedia.org/wiki/Huda_Y._Zoghbi,Q1633764,1954
Jean-Louis Mandel,https://en.wikipedia.org/wiki/Jean-Louis_Mandel,Q2279559,1946
Doris Tsao,https://en.wikipedia.org/wiki/Doris_Tsao,Q30135012,1975
Nancy Kanwisher,https://en.wikipedia.org/wiki/Nancy_Kanwisher,Q6962770,1958
Winrich Freiwald,https://en.wikipedia.org/wiki/Winrich_Freiwald,,
Tasuku Honjo,https://en.wikipedia.org/wiki/Tasuku_Honjo,Q2395341,1942
John E. Dick,https://en.wikipedia.org/wiki/John_E._Dick,,
Seiji Ogawa,https://en.wikipedia.org/wiki/Seiji_Ogawa,Q1247924,1934
Hans Clevers,https://en.wikipedia.org/wiki/Hans_Clevers,Q1579050,1957
Tadamitsu Kishimoto,https://en.wikipedia.org/wiki/Tadamitsu_Kishimoto,Q1496846,1939
Atsushi Miyawaki,https://en.wikipedia.org/wiki/Atsushi_Miyawaki,,
Aviv Regev,https://en.wikipedia.org/wiki/Aviv_Regev,Q4829027,1971
Osamu Nureki,https://en.wikipedia.org/wiki/Osamu_Nureki,,
Yoshihiro Kawaoka,https://en.wikipedia.org/wiki/Yoshihiro_Kawaoka,Q2600945,1955
Napoleone Ferrara,https://en.wikipedia.org/wiki/Napoleone_Ferrara,Q1769254,1956
Mitinori Saitou,https://en.wikipedia.org/wiki/Mitinori_Saitou,,
Vamsi K. Mootha,https://en.wikipedia.org/wiki/Vamsi_K._Mootha,,
Daniel Loss,https://en.wikipedia.org/wiki/Daniel_Loss,Q121382,1958
Laurens W. Molenkamp,https://en.wikipedia.org/wiki/Laurens_W._Molenkamp,Q1808047,1956
John M. Ball,https://en.wikipedia.org/wiki/John_M._Ball,Q667583,1948
Allen J. Bard,https://en.wikipedia.org/wiki/Allen_J._Bard,Q899517,1933
Jean M.J. Frechet,https://en.wikipedia.org/wiki/Jean_M._J._Fr%C3%A9chet,,
Xiaodong Wang,https://en.wikipedia.org/wiki/Xiaodong_Wang,Q1169816,
Nader Masmoudi,https://en.wikipedia.org/wiki/Nader_Masmoudi,Q16025086,1974
Jackie Yi-Ru Ying,https://en.wikipedia.org/wiki/Jackie_Ying,Q21262667,1966
Howard Y. Chang,https://en.wikipedia.org/wiki/Howard_Chang_(geneticist),,
Toyoki Kunitake,https://en.wikipedia.org/wiki/Toyoki_Kunitake,,
Takeo Kanade,https://en.wikipedia.org/wiki/Takeo_Kanade,Q92675,1945
Takashi Mimura,https://en.wikipedia.org/wiki/Takashi_Mimura_(engineer),,
Ching W. Tang,https://en.wikipedia.org/wiki/Ching_W._Tang,Q510956,1947
Andrew Chi-Chih Yao,https://en.wikipedia.org/wiki/Andrew_Yao,Q62888,1946
Carver Mead,https://en.wikipedia.org/wiki/Carver_Mead,Q62910,1934
Ryuzo Yanagimachi,https://en.wikipedia.org/wiki/Ryuzo_Yanagimachi,Q7385560,1928
John Pendry,https://en.wikipedia.org/wiki/John_Pendry,Q1376193,1943
Graham Farquhar,https://en.wikipedia.org/wiki/Graham_Farquhar,Q5592812,1947
Masaki Kashiwara,https://en.wikipedia.org/wiki/Masaki_Kashiwara,Q375000,1947
James Gunn,https://en.wikipedia.org/wiki/James_Gunn,Q717015,
Robert G. Roeder,https://en.wikipedia.org/wiki/Robert_G._Roeder,Q900586,1942
Bryan T. Grenfell,https://en.wikipedia.org/wiki/Bryan_T._Grenfell,,
Elliott H. Lieb,https://en.wikipedia.org/wiki/Elliott_H._Lieb,Q371441,1932
Paul F. Hoffman,https://en.wikipedia.org/wiki/Paul_F._Hoffman,Q952930,1941
Michael J. Sofia,https://en.wikipedia.org/wiki/Michael_J._Sofia,Q27916377,1958
Ralf F. W. Bartenschlager,https://en.wikipedia.org/wiki/Ralf_F._W._Bartenschlager,Q20664754,1958
Douglas R. Lowy,https://en.wikipedia.org/wiki/Douglas_R._Lowy,Q20676488,1942
John T. Schiller,https://en.wikipedia.org/wiki/John_T._Schiller,Q30320354,1953
John B. Glen,https://en.wikipedia.org/wiki/John_B._Glen,Q56578543,1940
Axel Ullrich,https://en.wikipedia.org/wiki/Axel_Ullrich,Q91442,1943
Dennis J. Slamon,https://en.wikipedia.org/wiki/Dennis_J._Slamon,Q1189226,1948
H. Michael Shepard,https://en.wikipedia.org/wiki/H._Michael_Shepard,Q5628425,1942
Yuk Ming Dennis Lo,https://en.wikipedia.org/wiki/Yuk_Ming_Dennis_Lo,Q14915755,1963
David Huang,https://en.wikipedia.org/wiki/David_Huang,Q8349303,
Eric A. Swanson,https://en.wikipedia.org/wiki/Eric_A._Swanson,Q61316391,1960
James G. Fujimoto,https://en.wikipedia.org/wiki/James_G._Fujimoto,Q26923747,1957
Joel Habener,https://en.wikipedia.org/wiki/Joel_Habener,Q96637578,1937
Lotte Bjerre Knudsen,https://en.wikipedia.org/wiki/Lotte_Bjerre_Knudsen,Q58586406,1964
Svetlana Mojsov,https://en.wikipedia.org/wiki/Svetlana_Mojsov,Q122372330,1947
Juan Maldacena,https://en.wikipedia.org/wiki/Juan_Martín_Maldacena,Q560811,1968
Daan Frenkel,https://en.wikipedia.org/wiki/Daan_Frenkel,Q1950829,1948
S. Lawrence Zipursky,https://en.wikipedia.org/wiki/S._Lawrence_Zipursky,Q21097906,1955
Aharon Razin,https://en.wikipedia.org/wiki/Aharon_Razin,Q400062,1935
Gary Felsenfeld,https://en.wikipedia.org/wiki/Gary_Felsenfeld,Q1494839,1929
Howard Cedar,https://en.wikipedia.org/wiki/Howard_Cedar,Q512309,1943
Bert W. O'Malley,https://en.wikipedia.org/wiki/Bert_W._O'Malley,Q827492,1936
Pierre Chambon,https://en.wikipedia.org/wiki/Pierre_Chambon,Q1388486,1931
Peter K. Vogt,https://en.wikipedia.org/wiki/Peter_K._Vogt,Q2076145,1932
Glen Barber,https://en.wikipedia.org/wiki/Glen_Barber,,
Scott Emr,https://en.wikipedia.org/wiki/Scott_Emr,Q7436207,1954
Wesley Sundquist,https://en.wikipedia.org/wiki/Wesley_Sundquist,Q87759276,1959
Peter Kirstein,https://en.wikipedia.org/wiki/Peter_Kirstein,Q7175221,
Arun Netravali,https://en.wikipedia.org/wiki/Arun_Netravali,Q4802125,1946
F. Thomson Leighton,https://en.wikipedia.org/wiki/F._Thomson_Leighton,Q5424058,1956
Paul Kocher,https://en.wikipedia.org/wiki/Paul_Kocher,Q96323454,
Taher Elgamal,https://en.wikipedia.org/wiki/Taher_Elgamal,Q910915,1955
Andrea Goldsmith,https://en.wikipedia.org/wiki/Andrea_Goldsmith,Q92794514,
Siavash Alamouti,https://en.wikipedia.org/wiki/Siavash_Alamouti,Q1393985,
Hari Balakrishnan,https://en.wikipedia.org/wiki/Hari_Balakrishnan,Q5657108,
Teresa H. Meng,https://en.wikipedia.org/wiki/Teresa_H._Meng,Q7702152,1961
Larry Guth,https://en.wikipedia.org/wiki/Larry_Guth,Q6490439,1976
Camillo De Lellis,https://en.wikipedia.org/wiki/Camillo_De_Lellis,Q15238469,1976
Sylvia Serfaty,https://en.wikipedia.org/wiki/Sylvia_Serfaty,Q519885,1975
Adalberto Giazotto,https://en.wikipedia.org/wiki/Adalberto_Giazotto,Q27862634,1940
Marco Tavani,https://en.wikipedia.org/wiki/Marco_Tavani,,
Gianluigi Fogli,https://en.wikipedia.org/wiki/Gianluigi_Fogli,,
Massimo Inguscio,https://en.wikipedia.org/wiki/Massimo_Inguscio,,
Amos Maritan,https://en.wikipedia.org/wiki/Amos_Maritan,Q59916235,
Catherine Heymans,https://en.wikipedia.org/wiki/Catherine_Heymans,Q11172658,
Ufuk Akcigit,https://en.wikipedia.org/wiki/Ufuk_Akcigit,Q83257098,1980
Roberto Bonasio,https://en.wikipedia.org/wiki/Roberto_Bonasio,,
Pablo Jarillo-Herrero,https://en.wikipedia.org/wiki/Pablo_Jarillo-Herrero,Q56928107,1976
Margaret Roberts,https://en.wikipedia.org/wiki/Margaret_Roberts,Q6759844,
Rotem Sorek,https://en.wikipedia.org/wiki/Rotem_Sorek,Q87617262,1975
Geordie Williamson,https://en.wikipedia.org/wiki/Geordie_Williamson,Q23874534,1981
Herbert Wagner,https://en.wikipedia.org/wiki/Herbert_Wagner,Q1609257,
Herbert Spohn,https://en.wikipedia.org/wiki/Herbert_Spohn,Q101869,1946
Ignacio Cirac,https://en.wikipedia.org/wiki/Ignacio_Cirac,Q650171,1965
Andrzej Buras,https://en.wikipedia.org/wiki/Andrzej_Buras,Q24206092,1946
Alexander Polyakov,https://en.wikipedia.org/wiki/Alexander_Polyakov,Q1727208,
Annette Zippelius,https://en.wikipedia.org/wiki/Annette_Zippelius,Q566727,1949
Rashid A. Sunyaev,https://en.wikipedia.org/wiki/Rashid_Sunyaev,Q836911,1943
Bryan S. Turner,https://en.wikipedia.org/wiki/Bryan_S._Turner,Q4980349,1945
Hans Joas,https://en.wikipedia.org/wiki/Hans_Joas,Q72453,1948
Martin Wikelski,https://en.wikipedia.org/wiki/Martin_Wikelski,,
Frances Arnold,https://en.wikipedia.org/wiki/Frances_Arnold,Q4273363,1956
Tuomo Suntola,https://en.wikipedia.org/wiki/Tuomo_Suntola,Q3433756,1943
Martin Green,https://en.wikipedia.org/wiki/Martin_Green_(physicist),,
Jayant Baliga,https://en.wikipedia.org/wiki/B._Jayant_Baliga,Q4834071,1948
Aziz Sancar,https://en.wikipedia.org/wiki/Aziz_Sancar,Q15118973,1946
Paul Modrich,https://en.wikipedia.org/wiki/Paul_Modrich,Q7151888,1946
Tomas Lindahl,https://en.wikipedia.org/wiki/Tomas_Lindahl,Q1886068,1938
Ben Feringa,https://en.wikipedia.org/wiki/Ben_Feringa,Q3259614,1951
Fraser Stoddart,https://en.wikipedia.org/wiki/Fraser_Stoddart,Q376243,1942
Jean-Pierre Sauvage,https://en.wikipedia.org/wiki/Jean-Pierre_Sauvage,Q3169751,1944
Jacques Dubochet,https://en.wikipedia.org/wiki/Jacques_Dubochet,Q41585344,1942
Joachim Frank,https://en.wikipedia.org/wiki/Joachim_Frank,Q28833112,1940
Richard Henderson,https://en.wikipedia.org/wiki/Richard_Henderson,Q7326377,
George Smith,https://en.wikipedia.org/wiki/George_P._Smith,Q56868007,
Gregory Winter,https://en.wikipedia.org/wiki/Gregory_Winter,Q1545000,1951
John Goodenough,https://en.wikipedia.org/wiki/John_Goodenough,Q906529,1922
M. Stanley Whittingham,https://en.wikipedia.org/wiki/M._Stanley_Whittingham,Q285062,1941
Benjamin List,https://en.wikipedia.org/wiki/Benjamin_List,Q105572,1968
David MacMillan,https://en.wikipedia.org/wiki/David_MacMillan,Q5237001,1968
Carolyn Bertozzi,https://en.wikipedia.org/wiki/Carolyn_R._Bertozzi,Q7442,1966
Karl Barry Sharpless,https://en.wikipedia.org/wiki/Barry_Sharpless,Q110925,1941
Morten Meldal,https://en.wikipedia.org/wiki/Morten_Meldal,Q6914509,1954
Alexei Ekimov,https://en.wikipedia.org/wiki/Alexei_Ekimov,Q1547368,1945
Louis Brus,https://en.wikipedia.org/wiki/Louis_Brus,Q194646,1943
Moungi Bawendi,https://en.wikipedia.org/wiki/Moungi_G._Bawendi,Q15433043,1961
David J. Thouless,https://en.wikipedia.org/wiki/David_J._Thouless,Q726394,1934
F. Duncan M. Haldane,https://en.wikipedia.org/wiki/F._Duncan_M._Haldane,Q1002250,1951
J. Michael Kosterlitz,https://en.wikipedia.org/wiki/J._Michael_Kosterlitz,Q1700920,1943
Barry C. Barish,https://en.wikipedia.org/wiki/Barry_Barish,Q15900993,1936
Kip S. Thorne,https://en.wikipedia.org/wiki/Kip_Thorne,Q323320,1940
Arthur Ashkin,https://en.wikipedia.org/wiki/Arthur_Ashkin,Q708472,1922
Donna Strickland,https://en.wikipedia.org/wiki/Donna_Strickland,Q56855591,1959
Gerard Mourou,https://en.wikipedia.org/wiki/G%C3%A9rard_Mourou,Q556543,1944
Didier Queloz,https://en.wikipedia.org/wiki/Didier_Queloz,Q124013,1966
James Peebles,https://en.wikipedia.org/wiki/Jim_Peebles,Q728331,1935
Andrea Ghez,https://en.wikipedia.org/wiki/Andrea_M._Ghez,Q493956,1965
Reinhard Genzel,https://en.wikipedia.org/wiki/Reinhard_Genzel,Q65807,1952
Roger Penrose,https://en.wikipedia.org/wiki/Roger_Penrose,Q193803,1931
Giorgio Parisi,https://en.wikipedia.org/wiki/Giorgio_Parisi,Q1235614,1948
Klaus Hasselmann,https://en.wikipedia.org/wiki/Klaus_Hasselmann,Q109370,1931
Alain Aspect,https://en.wikipedia.org/wiki/Alain_Aspect,Q364997,1947
Anton Zeilinger,https://en.wikipedia.org/wiki/Anton_Zeilinger,Q78610,1945
John F. Clauser,https://en.wikipedia.org/wiki/John_Clauser,Q1365270,1942
Pierre Agostini,https://en.wikipedia.org/wiki/Pierre_Agostini,Q57020342,1941
Geoffrey E. Hinton,https://en.wikipedia.org/wiki/Geoffrey_Hinton,Q92894,1947
John J. Hopfield,https://en.wikipedia.org/wiki/John_Hopfield,Q391237,1933
Satoshi Omura,https://en.wikipedia.org/wiki/Satoshi_%C5%8Cmura,Q21061207,1935
Tu Youyou,https://en.wikipedia.org/wiki/Tu_Youyou,Q462843,1930
William C. Campbell,https://en.wikipedia.org/wiki/William_C._Campbell,Q21069033,
Jeffrey C. Hall,https://en.wikipedia.org/wiki/Jeffrey_C._Hall,Q1686435,1945
Michael Rosbash,https://en.wikipedia.org/wiki/Michael_Rosbash,Q1297741,1944
Michael W. Young,https://en.wikipedia.org/wiki/Michael_W._Young,Q1929672,1949
Gregg L. Semenza,https://en.wikipedia.org/wiki/Gregg_L._Semenza,Q1545025,1956
Peter J. Ratcliffe,https://en.wikipedia.org/wiki/Peter_J._Ratcliffe,Q2075967,1954
William G. Kaelin Jr.,https://en.wikipedia.org/wiki/William_G._Kaelin_Jr.,Q1603351,1957
Harvey J. Alter,https://en.wikipedia.org/wiki/Harvey_J._Alter,Q5677307,1935
Michael Houghton,https://en.wikipedia.org/wiki/Michael_Houghton,Q1927895,1949
Gary Ruvkun,https://en.wikipedia.org/wiki/Gary_Ruvkun,Q504021,1952
Victor Ambros,https://en.wikipedia.org/wiki/Victor_Ambros,Q983858,1953
Patrick S. Moore,https://en.wikipedia.org/wiki/Patrick_S._Moore,Q281690,1956
Yuan Chang,https://en.wikipedia.org/wiki/Yuan_Chang,Q438541,1959
Franz-Ulrich Hartl,https://en.wikipedia.org/wiki/Franz-Ulrich_Hartl,Q91435,1957
Michael R. Silverman,https://en.wikipedia.org/wiki/Michael_R._Silverman,,
Ozlem Tureci,https://en.wikipedia.org/wiki/%C3%96zlem_T%C3%BCreci,Q92379963,1967
Ugur Sahin,https://en.wikipedia.org/wiki/U%C4%9Fur_%C5%9Eahin,Q2505089,1965
David G. Schatz,https://en.wikipedia.org/wiki/David_G._Schatz,,
Frederick W. Alt,https://en.wikipedia.org/wiki/Frederick_W._Alt,Q5497248,1949
Eric Fossum,https://en.wikipedia.org/wiki/Eric_Fossum,Q5386504,1957
George Smith,https://en.wikipedia.org/wiki/George_E._Smith,Q76373,1930
Michael Tompsett,https://en.wikipedia.org/wiki/Michael_Tompsett,Q6830404,1939
Nobukazu Teranishi,https://en.wikipedia.org/wiki/Nobukazu_Teranishi,Q28608450,1953
Hugo Fruehauf,https://en.wikipedia.org/wiki/Hugo_Fruehauf,,
James Spilker Jr.,https://en.wikipedia.org/wiki/James_Spilker,Q48972847,1933
Richard Schwartz,https://en.wikipedia.org/wiki/Richard_Schwartz,Q56202069,
Masato Sagawa,https://en.wikipedia.org/wiki/Masato_Sagawa,Q22006713,1943
Aihua Wang,https://en.wikipedia.org/wiki/Aihua_Wang,,
Andrew Blakers,https://en.wikipedia.org/wiki/Andrew_Blakers,Q4756372,
Jianhua Zhao,https://en.wikipedia.org/wiki/Jianhua_Zhao,,
Andrew Garrad,https://en.wikipedia.org/wiki/Andrew_Garrad,Q97246219,1953
Henrik Stiesdal,https://en.wikipedia.org/wiki/Henrik_Stiesdal,Q17029135,1957
Ralf Bartenschlager,https://en.wikipedia.org/wiki/Ralf_Bartenschlager,Q20664754,1958
Alberto Mantovani,https://en.wikipedia.org/wiki/Alberto_Mantovani,Q22069468,1948
Michel C. Nussenzweig,https://en.wikipedia.org/wiki/Michel_C._Nussenzweig,Q24804686,1955
Antonio Lanzavecchia,https://en.wikipedia.org/wiki/Antonio_Lanzavecchia,Q4776729,1951
Rafi Ahmed,https://en.wikipedia.org/wiki/Rafi_Ahmed,Q29017279,1948
Jeffrey V. Ravetch,https://en.wikipedia.org/wiki/Jeffrey_V._Ravetch,Q1359564,1951
Rino Rappuoli,https://en.wikipedia.org/wiki/Rino_Rappuoli,Q2154243,1952
Andreas Baumler,https://en.wikipedia.org/wiki/Andreas_B%C3%A4umler,,
Yasmine Belkaid,https://en.wikipedia.org/wiki/Yasmine_Belkaid,Q28843432,1968
Philip Felgner,https://en.wikipedia.org/wiki/Philip_Felgner,Q90974131,1950
Lalita Ramakrishnan,https://en.wikipedia.org/wiki/Lalita_Ramakrishnan,Q24006374,1959
Ronald Coifman,https://en.wikipedia.org/wiki/Ronald_Coifman,Q2165588,1941
Nikolai Makarov,https://en.wikipedia.org/wiki/Nikolai_Makarov,Q424812,
Jonathan S. Pila,https://en.wikipedia.org/wiki/Jonathan_S._Pila,,
Lai-Sang Young,https://en.wikipedia.org/wiki/Lai-Sang_Young,Q1663729,1952
Blake S. Wilson,https://en.wikipedia.org/wiki/Blake_S._Wilson,Q16009082,1948
Graeme M. Clark,https://en.wikipedia.org/wiki/Graeme_M._Clark,,
Ingeborg Hochmair,https://en.wikipedia.org/wiki/Ingeborg_Hochmair,Q15078048,1953
Adolf F. Fercher,https://en.wikipedia.org/wiki/Adolf_F._Fercher,,
Christoph K. Hitzenberger,https://en.wikipedia.org/wiki/Christoph_K._Hitzenberger,,
John B. Simpson,https://en.wikipedia.org/wiki/John_B._Simpson,Q6220126,1947
Julio C. Palmaz,https://en.wikipedia.org/wiki/Julio_C._Palmaz,,
Leonard Pinchuk,https://en.wikipedia.org/wiki/Leonard_Pinchuk,,
Paul G. Yock,https://en.wikipedia.org/wiki/Paul_G._Yock,,
Richard A. Schatz,https://en.wikipedia.org/wiki/Richard_A._Schatz,,
David R. Walt,https://en.wikipedia.org/wiki/David_R._Walt,Q87741033,
William J. Borucki,https://en.wikipedia.org/wiki/William_J._Borucki,Q8013156,1939
Simon D. M. White,https://en.wikipedia.org/wiki/Simon_D._M._White,Q549293,1951
Roger D. Blandford,https://en.wikipedia.org/wiki/Roger_D._Blandford,Q2161615,1949
Lennart Lindegren,https://en.wikipedia.org/wiki/Lennart_Lindegren,Q5954921,1950
Michael Perryman,https://en.wikipedia.org/wiki/Michael_Perryman,Q52274626,1954
Duncan Lorimer,https://en.wikipedia.org/wiki/Duncan_Lorimer,Q56085294,1969
Matthew Bailes,https://en.wikipedia.org/wiki/Matthew_Bailes,Q16727360,
Maura McLaughlin,https://en.wikipedia.org/wiki/Maura_McLaughlin,Q28007332,1972
Shrinivas R. Kulkarni,https://en.wikipedia.org/wiki/Shrinivas_R._Kulkarni,Q519988,1956
Ian R. Gibbons,https://en.wikipedia.org/wiki/Ian_Gibbons_(biologist),,
Ronald D. Vale,https://en.wikipedia.org/wiki/Ronald_D._Vale,Q542242,1959
Maria Jasin,https://en.wikipedia.org/wiki/Maria_Jasin,Q30093154,1956
Scott D. Emr,https://en.wikipedia.org/wiki/Scott_D._Emr,Q7436207,1954
Michael J. Welsh,https://en.wikipedia.org/wiki/Michael_J._Welsh,Q6835285,
Paul A. Negulescu,https://en.wikipedia.org/wiki/Paul_A._Negulescu,,
Eva Nogales,https://en.wikipedia.org/wiki/Eva_Nogales,Q4795157,1965
Patrick Cramer,https://en.wikipedia.org/wiki/Patrick_Cramer,Q107959,1969
Swee Lay Thein,https://en.wikipedia.org/wiki/Swee_Lay_Thein,Q58220948,1952
Gerd Faltings,https://en.wikipedia.org/wiki/Gerd_Faltings,Q77137,1954
Henryk Iwaniec,https://en.wikipedia.org/wiki/Henryk_Iwaniec,Q370944,1947
Nigel Hitchin,https://en.wikipedia.org/wiki/Nigel_Hitchin,Q916607,1946
Janos Kollar,https://en.wikipedia.org/wiki/J%C3%A1nos_Koll%C3%A1r,Q1115371,1956
Alexander Beilinson,https://en.wikipedia.org/wiki/Alexander_Beilinson,Q369792,1957
David Kazhdan,https://en.wikipedia.org/wiki/David_Kazhdan,Q1174945,1946
Jean-Michel Bismut,https://en.wikipedia.org/wiki/Jean-Michel_Bismut,Q527925,1948
