field,country,year,n_authors
"Chemical Engineering",MR,2024,2
"Chemical Engineering",MS,2015,1
"Chemical Engineering",MS,2016,1
"Chemical Engineering",MS,2017,1
"Chemical Engineering",MS,2018,1
"Chemical Engineering",MS,2019,1
"Chemical Engineering",MS,2020,1
"Chemical Engineering",MS,2021,1
"Chemical Engineering",MS,2022,1
"Chemical Engineering",MS,2023,1
"Chemical Engineering",MS,2024,1
"Chemical Engineering",MT,2015,11
"Chemical Engineering",MT,2016,11
"Chemical Engineering",MT,2017,11
"Chemical Engineering",MT,2018,11
"Chemical Engineering",MT,2019,11
"Chemical Engineering",MT,2020,13
"Chemical Engineering",MT,2021,13
"Chemical Engineering",MT,2022,14
"Chemical Engineering",MT,2023,14
"Chemical Engineering",MT,2024,15
"Chemical Engineering",MV,2015,5
"Chemical Engineering",MV,2016,5
"Chemical Engineering",MV,2017,5
"Chemical Engineering",MV,2018,5
"Chemical Engineering",MV,2019,5
"Chemical Engineering",MV,2020,5
"Chemical Engineering",MV,2021,6
"Chemical Engineering",MV,2022,6
"Chemical Engineering",MV,2023,6
"Chemical Engineering",MV,2024,9
"Chemical Engineering",MW,2015,6
"Chemical Engineering",MW,2016,6
"Chemical Engineering",MW,2017,8
"Chemical Engineering",MW,2018,8
"Chemical Engineering",MW,2019,11
"Chemical Engineering",MW,2020,11
"Chemical Engineering",MW,2021,12
"Chemical Engineering",MW,2022,12
"Chemical Engineering",MW,2023,12
"Chemical Engineering",MW,2024,13
"Chemical Engineering",MX,2015,558
"Chemical Engineering",MX,2016,593
"Chemical Engineering",MX,2017,638
"Chemical Engineering",MX,2018,667
"Chemical Engineering",MX,2019,709
"Chemical Engineering",MX,2020,738
"Chemical Engineering",MX,2021,774
"Chemical Engineering",MX,2022,805
"Chemical Engineering",MX,2023,834
"Chemical Engineering",MX,2024,863
"Chemical Engineering",MY,2015,388
"Chemical Engineering",MY,2016,477
"Chemical Engineering",MY,2017,537
"Chemical Engineering",MY,2018,605
"Chemical Engineering",MY,2019,640
"Chemical Engineering",MY,2020,688
"Chemical Engineering",MY,2021,740
"Chemical Engineering",MY,2022,769
"Chemical Engineering",MY,2023,807
"Chemical Engineering",MY,2024,844
"Chemical Engineering",MZ,2015,12
"Chemical Engineering",MZ,2016,12
"Chemical Engineering",MZ,2017,14
"Chemical Engineering",MZ,2018,14
"Chemical Engineering",MZ,2019,15
"Chemical Engineering",MZ,2020,15
"Chemical Engineering",MZ,2021,16
"Chemical Engineering",MZ,2022,18
"Chemical Engineering",MZ,2023,20
"Chemical Engineering",MZ,2024,21
"Chemical Engineering",NA,2015,1
"Chemical Engineering",NA,2016,1
"Chemical Engineering",NA,2017,1
"Chemical Engineering",NA,2018,1
"Chemical Engineering",NA,2019,1
"Chemical Engineering",NA,2020,2
"Chemical Engineering",NA,2021,2
"Chemical Engineering",NA,2022,2
"Chemical Engineering",NA,2023,2
"Chemical Engineering",NA,2024,2
"Chemical Engineering",NE,2015,4
"Chemical Engineering",NE,2016,4
"Chemical Engineering",NE,2017,5
"Chemical Engineering",NE,2018,5
"Chemical Engineering",NE,2019,5
"Chemical Engineering",NE,2020,6
"Chemical Engineering",NE,2021,6
"Chemical Engineering",NE,2022,6
"Chemical Engineering",NE,2023,6
"Chemical Engineering",NE,2024,6
"Chemical Engineering",NG,2015,58
"Chemical Engineering",NG,2016,64
"Chemical Engineering",NG,2017,72
"Chemical Engineering",NG,2018,81
"Chemical Engineering",NG,2019,94
"Chemical Engineering",NG,2020,107
"Chemical Engineering",NG,2021,118
"Chemical Engineering",NG,2022,127
"Chemical Engineering",NG,2023,141
"Chemical Engineering",NG,2024,151
"Chemical Engineering",NI,2015,3
"Chemical Engineering",NI,2016,4
"Chemical Engineering",NI,2017,6
"Chemical Engineering",NI,2018,6
"Chemical Engineering",NI,2019,6
"Chemical Engineering",NI,2020,6
"Chemical Engineering",NI,2021,6
"Chemical Engineering",NI,2022,6
"Chemical Engineering",NI,2023,6
"Chemical Engineering",NI,2024,6
"Chemical Engineering",NL,2015,1587
"Chemical Engineering",NL,2016,1641
"Chemical Engineering",NL,2017,1695
"Chemical Engineering",NL,2018,1756
"Chemical Engineering",NL,2019,1825
"Chemical Engineering",NL,2020,1886
"Chemical Engineering",NL,2021,1937
"Chemical Engineering",NL,2022,2003
"Chemical Engineering",NL,2023,2053
"Chemical Engineering",NL,2024,2089
"Chemical Engineering",NO,2015,395
"Chemical Engineering",NO,2016,408
"Chemical Engineering",NO,2017,424
"Chemical Engineering",NO,2018,432
"Chemical Engineering",NO,2019,444
"Chemical Engineering",NO,2020,468
"Chemical Engineering",NO,2021,480
"Chemical Engineering",NO,2022,491
"Chemical Engineering",NO,2023,506
"Chemical Engineering",NO,2024,521
"Chemical Engineering",NP,2015,32
"Chemical Engineering",NP,2016,36
"Chemical Engineering",NP,2017,40
"Chemical Engineering",NP,2018,51
"Chemical Engineering",NP,2019,61
"Chemical Engineering",NP,2020,69
"Chemical Engineering",NP,2021,79
"Chemical Engineering",NP,2022,84
"Chemical Engineering",NP,2023,90
"Chemical Engineering",NP,2024,100
"Chemical Engineering",NZ,2015,167
"Chemical Engineering",NZ,2016,179
"Chemical Engineering",NZ,2017,186
"Chemical Engineering",NZ,2018,196
"Chemical Engineering",NZ,2019,201
"Chemical Engineering",NZ,2020,219
"Chemical Engineering",NZ,2021,227
"Chemical Engineering",NZ,2022,228
"Chemical Engineering",NZ,2023,233
"Chemical Engineering",NZ,2024,239
"Chemical Engineering",OM,2015,28
"Chemical Engineering",OM,2016,31
"Chemical Engineering",OM,2017,34
"Chemical Engineering",OM,2018,38
"Chemical Engineering",OM,2019,41
"Chemical Engineering",OM,2020,41
"Chemical Engineering",OM,2021,44
"Chemical Engineering",OM,2022,47
"Chemical Engineering",OM,2023,53
"Chemical Engineering",OM,2024,55
"Chemical Engineering",PA,2015,5
"Chemical Engineering",PA,2016,5
"Chemical Engineering",PA,2017,5
"Chemical Engineering",PA,2018,5
"Chemical Engineering",PA,2019,5
"Chemical Engineering",PA,2020,5
"Chemical Engineering",PA,2021,5
"Chemical Engineering",PA,2022,7
"Chemical Engineering",PA,2023,7
"Chemical Engineering",PA,2024,7
"Chemical Engineering",PE,2015,20
"Chemical Engineering",PE,2016,22
"Chemical Engineering",PE,2017,24
"Chemical Engineering",PE,2018,28
"Chemical Engineering",PE,2019,30
"Chemical Engineering",PE,2020,31
"Chemical Engineering",PE,2021,34
"Chemical Engineering",PE,2022,39
"Chemical Engineering",PE,2023,39
"Chemical Engineering",PE,2024,47
"Chemical Engineering",PF,2018,1
"Chemical Engineering",PF,2019,1
"Chemical Engineering",PF,2020,1
"Chemical Engineering",PF,2021,1
"Chemical Engineering",PF,2022,1
"Chemical Engineering",PF,2023,1
"Chemical Engineering",PF,2024,1
"Chemical Engineering",PG,2015,1
"Chemical Engineering",PG,2016,1
"Chemical Engineering",PG,2017,1
"Chemical Engineering",PG,2018,2
"Chemical Engineering",PG,2019,2
"Chemical Engineering",PG,2020,2
"Chemical Engineering",PG,2021,2
"Chemical Engineering",PG,2022,2
"Chemical Engineering",PG,2023,2
"Chemical Engineering",PG,2024,2
"Chemical Engineering",PH,2015,43
"Chemical Engineering",PH,2016,49
"Chemical Engineering",PH,2017,56
"Chemical Engineering",PH,2018,58
"Chemical Engineering",PH,2019,63
"Chemical Engineering",PH,2020,67
"Chemical Engineering",PH,2021,71
"Chemical Engineering",PH,2022,72
"Chemical Engineering",PH,2023,80
"Chemical Engineering",PH,2024,87
"Chemical Engineering",PK,2015,130
"Chemical Engineering",PK,2016,147
"Chemical Engineering",PK,2017,163
"Chemical Engineering",PK,2018,185
"Chemical Engineering",PK,2019,198
"Chemical Engineering",PK,2020,240
"Chemical Engineering",PK,2021,277
"Chemical Engineering",PK,2022,304
"Chemical Engineering",PK,2023,338
"Chemical Engineering",PK,2024,386
"Chemical Engineering",PL,2015,1246
"Chemical Engineering",PL,2016,1302
"Chemical Engineering",PL,2017,1363
"Chemical Engineering",PL,2018,1433
"Chemical Engineering",PL,2019,1509
"Chemical Engineering",PL,2020,1590
"Chemical Engineering",PL,2021,1647
"Chemical Engineering",PL,2022,1684
"Chemical Engineering",PL,2023,1705
"Chemical Engineering",PL,2024,1743
"Chemical Engineering",PR,2015,46
"Chemical Engineering",PR,2016,48
"Chemical Engineering",PR,2017,50
"Chemical Engineering",PR,2018,52
"Chemical Engineering",PR,2019,58
"Chemical Engineering",PR,2020,61
"Chemical Engineering",PR,2021,61
"Chemical Engineering",PR,2022,65
"Chemical Engineering",PR,2023,66
"Chemical Engineering",PR,2024,70
"Chemical Engineering",PS,2015,34
"Chemical Engineering",PS,2016,37
"Chemical Engineering",PS,2017,37
"Chemical Engineering",PS,2018,38
"Chemical Engineering",PS,2019,39
"Chemical Engineering",PS,2020,40
"Chemical Engineering",PS,2021,41
"Chemical Engineering",PS,2022,42
"Chemical Engineering",PS,2023,43
"Chemical Engineering",PS,2024,43
"Chemical Engineering",PT,2015,557
"Chemical Engineering",PT,2016,587
"Chemical Engineering",PT,2017,628
"Chemical Engineering",PT,2018,658
"Chemical Engineering",PT,2019,704
"Chemical Engineering",PT,2020,748
"Chemical Engineering",PT,2021,778
"Chemical Engineering",PT,2022,807
"Chemical Engineering",PT,2023,833
"Chemical Engineering",PT,2024,854
"Chemical Engineering",PY,2015,4
"Chemical Engineering",PY,2016,4
"Chemical Engineering",PY,2017,4
"Chemical Engineering",PY,2018,5
"Chemical Engineering",PY,2019,7
"Chemical Engineering",PY,2020,7
"Chemical Engineering",PY,2021,7
"Chemical Engineering",PY,2022,7
"Chemical Engineering",PY,2023,8
"Chemical Engineering",PY,2024,11
"Chemical Engineering",QA,2015,57
"Chemical Engineering",QA,2016,65
"Chemical Engineering",QA,2017,68
"Chemical Engineering",QA,2018,74
"Chemical Engineering",QA,2019,76
"Chemical Engineering",QA,2020,84
"Chemical Engineering",QA,2021,91
"Chemical Engineering",QA,2022,102
"Chemical Engineering",QA,2023,109
"Chemical Engineering",QA,2024,119
"Chemical Engineering",RE,2015,2
"Chemical Engineering",RE,2016,2
"Chemical Engineering",RE,2017,2
"Chemical Engineering",RE,2018,2
"Chemical Engineering",RE,2019,2
"Chemical Engineering",RE,2020,2
"Chemical Engineering",RE,2021,2
"Chemical Engineering",RE,2022,2
