field,year,n_pool,threshold
Social Sciences,2021,1001,14159
Social Sciences,2022,1000,15173
Social Sciences,2023,1000,16237
Social Sciences,2024,1000,17302
Veterinary,2015,1003,947
Veterinary,2016,1000,1031
Veterinary,2017,1000,1132
Veterinary,2018,1000,1213
Veterinary,2019,1000,1304
Veterinary,2020,1002,1421
Veterinary,2021,1000,1547
Veterinary,2022,1000,1670
Veterinary,2023,1000,1806
Veterinary,2024,1000,1949
